id,full_name,gender,part_time_job,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,average_score
19,Patricia Chavez,female,False,22.0,92.0,86.0,87.0,81.0,93.0,90.0,99.0,89.33
20,Jason Williams,male,False,34.0,100.0,77.0,80.0,94.0,63.0,90.0,90.0,89.0
21,Peter Gibbs,male,False,23.0,64.0,75.0,93.0,79.0,81.0,96.0,85.0,78.33
22,Jeffrey Blanchard,male,False,17.0,79.0,65.0,99.0,71.0,76.0,77.0,83.0,73.67
23,Carol Hill,female,False,19.0,82.0,100.0,61.0,97.0,30.0,74.0,73.0,85.33
24,Angie Miller,female,False,14.0,88.0,69.0,87.0,100.0,88.0,85.0,72.0,80.67
25,Cynthia Knapp,female,False,30.0,70.0,68.0,92.0,74.0,82.0,85.0,72.0,74.33
26,Timothy Bryant,male,False,30.0,77.0,96.0,98.0,89.0,85.0,62.0,62.0,78.33
27,Phyllis Diaz,female,False,24.0,99.0,84.0,84.0,78.0,78.0,77.0,68.0,86.67
28,Lisa Burns,female,False,31.0,90.0,93.0,91.0,80.0,86.0,69.0,62.0,84.0
29,Kelly Farley,female,False,21.0,65.0,70.0,78.0,98.0,80.0,66.0,65.0,67.0
30,Ryan Lee,male,False,19.0,99.0,94.0,87.0,71.0,89.0,91.0,96.0,94.67
31,Michael Gilmore,male,False,29.0,92.0,100.0,85.0,89.0,81.0,91.0,88.0,94.33
32,Miguel Martinez,male,False,21.0,77.0,64.0,64.0,88.0,94.0,82.0,78.0,74.33
33,Christopher Taylor,male,False,18.0,92.0,60.0,66.0,87.0,60.0,83.0,95.0,78.33
34,Emily Holloway,female,False,31.0,85.0,97.0,64.0,90.0,79.0,81.0,81.0,87.67
35,Jesus Rasmussen,male,True,4.0,65.0,55.0,66.0,50.0,88.0,56.0,86.0,58.67
36,Lauren Farmer,female,True,3.0,93.0,94.0,92.0,77.0,87.0,98.0,63.0,95.0
37,Pamela Cole,female,False,3.0,97.0,99.0,85.0,96.0,91.0,68.0,66.0,88.0
38,David Gillespie,male,True,3.0,54.0,99.0,79.0,57.0,53.0,95.0,83.0,82.67
39,Kenneth Davis,male,True,5.0,88.0,53.0,50.0,58.0,84.0,53.0,96.0,64.67
40,Elizabeth Martin,female,False,27.0,71.0,85.0,93.0,68.0,100.0,91.0,87.0,82.33
41,Billy Soto,male,False,28.0,81.0,98.0,74.0,70.0,97.0,65.0,65.0,81.33
42,Kimberly Kelly,female,False,32.0,80.0,78.0,86.0,80.0,64.0,68.0,100.0,75.33
43,Sonia Noble,female,False,14.0,100.0,89.0,90.0,93.0,30.0,83.0,74.0,90.67
44,Christopher Stewart,male,False,16.0,76.0,72.0,96.0,65.0,89.0,87.0,94.0,78.33
45,Sandra Thornton,female,False,24.0,99.0,81.0,73.0,70.0,85.0,86.0,61.0,88.67
46,Luke Shannon,male,False,0.0,64.0,70.0,61.0,81.0,82.0,51.0,70.0,61.67
47,Lindsay Pruitt,female,False,32.0,90.0,96.0,86.0,61.0,89.0,98.0,68.0,94.67
48,Jamie Taylor,male,False,3.0,85.0,100.0,92.0,68.0,60.0,77.0,83.0,87.33
49,Jennifer Murphy,female,False,31.0,91.0,60.0,84.0,88.0,76.0,71.0,99.0,74.0
50,Melissa Lee,female,False,21.0,95.0,72.0,79.0,86.0,87.0,81.0,62.0,82.67
51,David Vaughn,male,True,18.0,94.0,78.0,73.0,97.0,67.0,78.0,99.0,83.33
52,Jacob Hanson,male,False,26.0,94.0,89.0,64.0,96.0,91.0,95.0,77.0,92.67
53,Casey May,male,False,23.0,89.0,99.0,90.0,79.0,85.0,96.0,98.0,94.67
54,Michelle Roman,female,False,1.0,91.0,81.0,88.0,71.0,78.0,83.0,76.0,85.0
55,Brittany Koch,female,False,33.0,83.0,86.0,61.0,99.0,99.0,88.0,73.0,85.67
56,Brian Lewis,male,False,2.0,98.0,65.0,53.0,64.0,52.0,96.0,62.0,86.33
57,Veronica Cameron,female,False,34.0,83.0,97.0,65.0,88.0,67.0,95.0,69.0,91.67
58,Eric Reyes,male,False,18.0,91.0,73.0,99.0,70.0,63.0,80.0,78.0,81.33
59,Kristy Weber,female,True,2.0,90.0,54.0,77.0,74.0,76.0,96.0,88.0,80.0
60,Anthony Smith,male,False,27.0,92.0,86.0,66.0,69.0,100.0,71.0,80.0,83.0
61,Steven Stephens,male,False,8.0,64.0,64.0,73.0,76.0,72.0,97.0,91.0,75.0
62,Henry Davis,male,False,14.0,90.0,70.0,85.0,60.0,81.0,71.0,88.0,77.0
63,Raymond Shea,male,False,22.0,99.0,81.0,96.0,69.0,91.0,87.0,83.0,89.0
64,Jill Perez,female,False,15.0,89.0,66.0,93.0,81.0,86.0,88.0,70.0,81.0
65,Kimberly Bonilla,female,True,22.0,62.0,87.0,93.0,83.0,93.0,97.0,73.0,82.0
66,Louis Edwards,male,True,1.0,61.0,70.0,69.0,64.0,59.0,78.0,80.0,69.67
67,Michael Hodge,male,True,3.0,51.0,54.0,66.0,87.0,99.0,58.0,68.0,54.33
68,Anna Li,female,False,20.0,85.0,100.0,64.0,68.0,73.0,81.0,87.0,88.67
69,Andrea Case,female,False,27.0,99.0,90.0,96.0,92.0,100.0,98.0,77.0,95.67
70,Jennifer Garcia,female,False,24.0,87.0,63.0,60.0,90.0,89.0,99.0,80.0,83.0
71,Rhonda Davenport,female,False,5.0,75.0,91.0,80.0,93.0,74.0,93.0,65.0,86.33
72,Chelsea Craig,female,False,34.0,88.0,94.0,80.0,63.0,68.0,77.0,64.0,86.33
73,Shawn Chase,male,False,16.0,87.0,79.0,89.0,68.0,93.0,75.0,92.0,80.33
74,Elizabeth Calhoun,female,True,3.0,87.0,67.0,94.0,92.0,62.0,58.0,65.0,70.67
75,Lisa Harris,female,False,15.0,76.0,67.0,83.0,85.0,91.0,61.0,67.0,68.0
76,Carol Snyder,female,False,11.0,60.0,80.0,61.0,63.0,95.0,92.0,75.0,77.33
77,Charles Butler,male,False,32.0,85.0,65.0,99.0,100.0,88.0,93.0,72.0,81.0
78,James Dawson,male,False,28.0,73.0,67.0,70.0,71.0,65.0,73.0,87.0,71.0
79,Dennis Kim,male,False,24.0,85.0,71.0,69.0,80.0,70.0,77.0,66.0,77.67
80,Jennifer Berry,female,False,9.0,91.0,76.0,71.0,72.0,92.0,67.0,90.0,78.0
81,Yvette Bridges,female,False,14.0,99.0,95.0,83.0,89.0,81.0,63.0,70.0,85.67
82,Robert Atkins,male,False,16.0,93.0,96.0,68.0,87.0,69.0,89.0,100.0,92.67
83,William Brown,male,False,29.0,89.0,75.0,60.0,80.0,62.0,85.0,73.0,83.0
84,Patrick Parker,male,False,14.0,95.0,78.0,95.0,73.0,32.0,65.0,68.0,79.33
85,James Santiago,male,False,10.0,68.0,82.0,95.0,63.0,62.0,98.0,93.0,82.67
86,Robert Parsons,male,False,31.0,98.0,73.0,73.0,77.0,87.0,98.0,83.0,89.67
87,Jacob Brown,male,False,34.0,79.0,92.0,79.0,76.0,84.0,67.0,86.0,79.33
88,Natalie Robinson,female,False,3.0,78.0,79.0,73.0,96.0,64.0,93.0,85.0,83.33
89,Victoria Jones,female,False,34.0,100.0,98.0,89.0,85.0,81.0,64.0,94.0,87.33
90,Natasha Hansen,female,False,2.0,86.0,76.0,84.0,93.0,76.0,69.0,91.0,77.0
91,Thomas White,male,False,4.0,87.0,89.0,93.0,98.0,79.0,72.0,88.0,82.67
92,Derrick Figueroa,male,True,28.0,100.0,93.0,85.0,61.0,96.0,83.0,86.0,92.0
93,Kimberly Ward,female,False,5.0,85.0,89.0,94.0,69.0,99.0,93.0,98.0,89.0
94,Rhonda Jones,female,False,4.0,87.0,73.0,98.0,91.0,79.0,60.0,77.0,73.33
95,Abigail Perez,female,False,25.0,96.0,80.0,100.0,61.0,81.0,98.0,65.0,91.33
96,James Yang,male,False,29.0,76.0,87.0,64.0,74.0,73.0,90.0,99.0,84.33
97,Stephen Patton,male,True,1.0,90.0,80.0,63.0,94.0,64.0,70.0,79.0,80.0
98,Emma Wright,female,False,2.0,65.0,60.0,100.0,91.0,87.0,78.0,99.0,67.67
99,Cynthia Brown,female,False,0.0,98.0,97.0,62.0,89.0,62.0,95.0,77.0,96.67
100,Erin Kelley,female,False,16.0,91.0,80.0,97.0,89.0,94.0,95.0,84.0,88.67
101,Benjamin Morse,male,False,31.0,86.0,81.0,83.0,81.0,81.0,77.0,86.0,81.33
102,Alexandra Gibson,female,False,4.0,91.0,93.0,72.0,61.0,61.0,87.0,95.0,90.33
103,Phillip Allen,male,False,13.0,78.0,69.0,82.0,60.0,64.0,77.0,82.0,74.67
104,Joshua Gonzalez,male,False,24.0,76.0,89.0,89.0,83.0,89.0,90.0,64.0,85.0
105,Erin Jones,female,True,2.0,82.0,54.0,85.0,57.0,50.0,54.0,76.0,63.33
106,Charles Hayes,male,True,4.0,45.0,85.0,94.0,76.0,57.0,93.0,86.0,74.33
107,Kelsey Brown,female,False,22.0,92.0,75.0,65.0,97.0,61.0,76.0,81.0,81.0
108,Robert Turner,male,False,0.0,43.0,65.0,91.0,75.0,64.0,94.0,100.0,67.33
109,Robert Hill,male,False,24.0,96.0,66.0,69.0,65.0,72.0,84.0,77.0,82.0
110,Alyssa Ritter,female,False,1.0,78.0,71.0,50.0,55.0,54.0,97.0,95.0,82.0
111,Beth Bell,female,False,19.0,68.0,96.0,64.0,70.0,74.0,63.0,75.0,75.67
112,Andrew Dixon,male,False,19.0,93.0,73.0,94.0,65.0,60.0,63.0,93.0,76.33
113,Crystal Walker,female,False,5.0,55.0,93.0,67.0,74.0,55.0,60.0,64.0,69.33
114,Jordan Bennett,female,True,13.0,66.0,90.0,83.0,80.0,76.0,90.0,91.0,82.0
115,Antonio Caldwell,male,False,26.0,98.0,92.0,91.0,99.0,97.0,88.0,75.0,92.67
116,Jacob Reyes,male,False,41.0,94.0,94.0,94.0,89.0,85.0,86.0,85.0,91.33
117,Wendy Lewis,female,False,47.0,96.0,100.0,96.0,91.0,91.0,96.0,89.0,97.33
118,Jennifer Miller,female,False,9.0,69.0,62.0,82.0,89.0,81.0,72.0,71.0,67.67
119,Lisa Ware,female,False,7.0,77.0,95.0,98.0,69.0,60.0,89.0,71.0,87.0
120,Brian Lee,male,False,3.0,89.0,67.0,86.0,87.0,87.0,68.0,78.0,74.67
121,Mario Taylor,male,False,14.0,96.0,67.0,80.0,83.0,86.0,77.0,75.0,80.0
122,Amanda Williamson,female,False,26.0,82.0,70.0,80.0,70.0,96.0,69.0,86.0,73.67
123,Michael Miller,male,False,27.0,99.0,97.0,64.0,90.0,87.0,68.0,69.0,88.0
124,Amanda Vasquez,female,True,25.0,96.0,73.0,90.0,85.0,63.0,84.0,87.0,84.33
125,Chelsea Obrien,female,True,16.0,95.0,82.0,66.0,63.0,67.0,92.0,69.0,89.67
126,Tina Perkins,female,False,27.0,90.0,63.0,69.0,80.0,99.0,69.0,79.0,74.0
127,Cory Perez,male,True,0.0,88.0,52.0,53.0,56.0,85.0,93.0,78.0,77.67
128,Christopher Jenkins,male,False,3.0,87.0,62.0,87.0,96.0,85.0,90.0,74.0,79.67
129,Joanne Campos,female,False,6.0,62.0,83.0,84.0,75.0,83.0,85.0,86.0,76.67
130,David Patel,male,False,12.0,85.0,65.0,60.0,78.0,81.0,96.0,76.0,82.0
131,Michelle Hill,female,False,11.0,79.0,97.0,76.0,67.0,61.0,90.0,95.0,88.67
132,Jessica Boyd,female,False,23.0,90.0,94.0,98.0,96.0,68.0,82.0,81.0,88.67
133,Lawrence Russell,male,False,23.0,97.0,71.0,82.0,80.0,97.0,93.0,78.0,87.0
134,James Singh,male,False,16.0,88.0,69.0,87.0,81.0,77.0,67.0,93.0,74.67
135,Marc Villanueva,male,True,3.0,71.0,85.0,77.0,89.0,98.0,63.0,100.0,73.0
136,Cathy Wilson,female,False,29.0,70.0,99.0,79.0,96.0,60.0,97.0,100.0,88.67
137,Adam Mitchell,male,False,18.0,93.0,68.0,76.0,99.0,80.0,80.0,75.0,80.33
138,Sherry Phillips,female,False,3.0,92.0,79.0,81.0,61.0,86.0,72.0,88.0,81.0
139,Victor Jones,male,False,6.0,83.0,72.0,68.0,94.0,100.0,98.0,92.0,84.33
140,Mark Young,male,False,2.0,68.0,97.0,51.0,93.0,68.0,58.0,78.0,74.33
141,Matthew Jackson,male,False,34.0,92.0,90.0,65.0,79.0,96.0,87.0,74.0,89.67
142,Tanya Nichols,female,False,22.0,69.0,91.0,82.0,99.0,94.0,75.0,74.0,78.33
143,Julie Gray,female,True,4.0,76.0,72.0,72.0,65.0,82.0,71.0,93.0,73.0
144,Courtney Perry,female,False,3.0,86.0,92.0,79.0,73.0,73.0,61.0,60.0,79.67
145,Stephen Rodriguez,male,True,2.0,41.0,57.0,97.0,56.0,50.0,98.0,83.0,65.33
146,Elizabeth Robinson,female,False,18.0,91.0,100.0,84.0,72.0,84.0,90.0,82.0,93.67
147,William Graves,male,False,8.0,78.0,67.0,82.0,70.0,65.0,68.0,81.0,71.0
148,Nancy Moore,female,False,33.0,89.0,73.0,85.0,84.0,73.0,81.0,98.0,81.0
149,Matthew Newman,male,False,13.0,96.0,71.0,88.0,74.0,80.0,92.0,65.0,86.33
150,Anita Moore,female,False,17.0,66.0,99.0,85.0,90.0,76.0,64.0,95.0,76.33
151,Brian Sanchez,male,True,1.0,97.0,54.0,62.0,66.0,58.0,69.0,96.0,73.33
152,Dennis Phillips,male,True,3.0,49.0,64.0,97.0,61.0,62.0,72.0,65.0,61.67
153,Michael Rivas,male,True,33.0,88.0,66.0,96.0,82.0,65.0,76.0,79.0,76.67
154,Ryan Smith,male,False,12.0,92.0,64.0,77.0,61.0,76.0,72.0,87.0,76.0
155,Anthony Sullivan,male,True,24.0,96.0,66.0,92.0,88.0,65.0,76.0,72.0,79.33
156,Troy Shepherd,male,False,33.0,86.0,88.0,99.0,79.0,93.0,97.0,91.0,90.33
157,Nicholas Clayton,male,False,44.0,86.0,100.0,100.0,96.0,95.0,97.0,93.0,94.33
158,Denise Schneider,female,False,15.0,88.0,72.0,96.0,60.0,90.0,80.0,88.0,80.0
159,Lisa Silva,female,False,5.0,92.0,81.0,99.0,98.0,77.0,80.0,73.0,84.33
160,Laura Reilly,female,True,5.0,87.0,76.0,71.0,65.0,64.0,81.0,61.0,81.33
161,Amy Peterson,female,False,22.0,89.0,94.0,67.0,68.0,69.0,92.0,76.0,91.67
162,Fernando Sexton,male,False,9.0,97.0,96.0,66.0,96.0,71.0,97.0,66.0,96.67
163,Evan Christian,male,False,34.0,100.0,62.0,67.0,97.0,73.0,84.0,99.0,82.0
164,Rebecca Norris,female,False,34.0,91.0,98.0,76.0,99.0,65.0,98.0,71.0,95.67
165,Erica Marks,female,False,25.0,81.0,87.0,65.0,85.0,74.0,64.0,81.0,77.33
166,Rhonda Webster,female,False,31.0,82.0,66.0,89.0,76.0,68.0,83.0,79.0,77.0
167,John Bennett,male,False,33.0,100.0,96.0,75.0,68.0,77.0,97.0,81.0,97.67
168,Amanda Murphy,female,False,3.0,65.0,100.0,80.0,83.0,57.0,81.0,81.0,82.0
169,Jeremy Barnes,male,False,20.0,68.0,100.0,89.0,75.0,84.0,78.0,90.0,82.0
170,John Brown,male,False,15.0,97.0,92.0,95.0,75.0,95.0,90.0,83.0,93.0
171,Traci Boyd,female,False,26.0,76.0,94.0,77.0,88.0,85.0,91.0,61.0,87.0
172,Elizabeth Butler,female,False,35.0,91.0,99.0,94.0,94.0,95.0,98.0,89.0,96.0
173,Alex Clark,male,False,12.0,85.0,73.0,89.0,73.0,97.0,66.0,79.0,74.67
174,Christopher Wolfe,male,False,5.0,68.0,69.0,86.0,87.0,72.0,80.0,93.0,72.33
175,Jason Bell,male,False,31.0,73.0,99.0,75.0,70.0,100.0,86.0,62.0,86.0
176,Victoria Donaldson,female,False,28.0,65.0,90.0,75.0,96.0,91.0,93.0,85.0,82.67
177,Logan Cox,male,False,5.0,46.0,79.0,75.0,86.0,91.0,88.0,77.0,71.0
178,Rachel Hill,female,False,33.0,92.0,84.0,85.0,77.0,81.0,69.0,95.0,81.67
179,Jenny Lloyd,female,False,2.0,69.0,78.0,69.0,70.0,100.0,88.0,85.0,78.33
180,Joan Cohen,female,False,9.0,78.0,99.0,64.0,99.0,65.0,84.0,80.0,87.0
181,Kimberly Lopez,female,True,0.0,92.0,62.0,86.0,97.0,54.0,76.0,76.0,76.67
182,Steven Walker,male,False,26.0,70.0,77.0,91.0,96.0,100.0,89.0,67.0,78.67
183,Sonia Bowers,female,False,30.0,95.0,79.0,98.0,95.0,89.0,99.0,87.0,91.0
184,Penny Perez,female,False,1.0,99.0,82.0,93.0,83.0,92.0,90.0,60.0,90.33
185,Mike Harris,male,False,26.0,96.0,66.0,79.0,80.0,88.0,61.0,85.0,74.33
186,Vanessa Sweeney,female,False,2.0,85.0,90.0,85.0,74.0,96.0,71.0,80.0,82.0
187,Adam Edwards,male,False,9.0,91.0,94.0,82.0,100.0,68.0,66.0,69.0,83.67
188,Angelica Johnson,female,False,30.0,85.0,64.0,93.0,80.0,82.0,70.0,94.0,73.0
189,Tiffany Hernandez,female,False,24.0,94.0,73.0,61.0,68.0,65.0,85.0,67.0,84.0
190,Mark Myers,male,False,21.0,95.0,69.0,62.0,87.0,84.0,83.0,64.0,82.33
191,Erica Cochran,female,False,14.0,69.0,90.0,83.0,70.0,83.0,91.0,67.0,83.33
192,Karen Watson,female,False,24.0,95.0,72.0,94.0,96.0,91.0,61.0,94.0,76.0
193,Kathryn Frazier,female,False,34.0,94.0,88.0,65.0,88.0,60.0,81.0,78.0,87.67
194,Anthony Jackson,male,False,34.0,82.0,81.0,100.0,81.0,60.0,79.0,96.0,80.67
195,Jordan Perez,male,False,27.0,99.0,73.0,91.0,91.0,93.0,80.0,100.0,84.0
196,Jennifer Burgess,female,False,16.0,85.0,62.0,84.0,80.0,37.0,80.0,71.0,75.67
197,Christina Davis,female,False,21.0,100.0,87.0,60.0,92.0,46.0,67.0,96.0,84.67
198,April Ryan,female,False,1.0,98.0,95.0,90.0,81.0,82.0,86.0,98.0,93.0
199,Maxwell Davis,male,False,17.0,97.0,78.0,81.0,67.0,90.0,95.0,79.0,90.0
200,Matthew Guzman,male,False,0.0,99.0,86.0,68.0,94.0,97.0,77.0,92.0,87.33
201,Robert Mayer,male,False,12.0,99.0,73.0,77.0,74.0,62.0,68.0,99.0,80.0
202,Amanda Willis,female,False,22.0,75.0,83.0,70.0,71.0,86.0,95.0,76.0,84.33
203,Michele Thomas,female,False,14.0,63.0,80.0,99.0,78.0,60.0,84.0,86.0,75.67
204,Tim Turner,male,False,41.0,96.0,88.0,90.0,100.0,94.0,87.0,96.0,90.33
205,Joe Strickland,male,False,32.0,91.0,73.0,86.0,73.0,84.0,60.0,71.0,74.67
206,Trevor Cruz,male,True,4.0,52.0,58.0,60.0,97.0,93.0,89.0,68.0,66.33
207,Melissa Roberts,female,False,22.0,99.0,71.0,80.0,82.0,95.0,64.0,64.0,78.0
208,Tammy Miller,female,False,17.0,84.0,62.0,92.0,74.0,73.0,98.0,91.0,81.33
209,Chad Morgan,male,False,2.0,100.0,90.0,82.0,79.0,94.0,83.0,78.0,91.0
210,Samantha Maldonado,female,False,33.0,82.0,71.0,93.0,90.0,90.0,76.0,97.0,76.33
211,Marie Martin,female,False,29.0,75.0,88.0,65.0,80.0,76.0,94.0,97.0,85.67
212,Theresa Tucker,female,True,27.0,66.0,71.0,94.0,72.0,96.0,70.0,63.0,69.0
213,Joseph Morris,male,False,34.0,99.0,88.0,72.0,76.0,68.0,92.0,72.0,93.0
214,Charles Parker,male,False,2.0,99.0,76.0,94.0,88.0,75.0,66.0,84.0,80.33
215,Rachel Alvarez,female,False,22.0,95.0,87.0,79.0,95.0,84.0,90.0,74.0,90.67
216,Charles Robertson,male,False,33.0,99.0,61.0,75.0,68.0,66.0,90.0,99.0,83.33
217,Steven York,male,False,17.0,65.0,72.0,96.0,69.0,78.0,93.0,72.0,76.67
218,Robert Dougherty,male,False,4.0,85.0,55.0,74.0,71.0,66.0,50.0,99.0,63.33
219,Vanessa Wheeler,female,False,3.0,69.0,78.0,57.0,72.0,71.0,96.0,87.0,81.0
220,Emily Mcclure,female,False,3.0,75.0,76.0,88.0,65.0,97.0,83.0,85.0,78.0
221,Angela Thomas,female,False,17.0,91.0,78.0,72.0,69.0,77.0,91.0,96.0,86.67
222,Roberto Evans,male,False,6.0,92.0,95.0,61.0,98.0,89.0,85.0,80.0,90.67
223,Christopher Perez,male,False,9.0,62.0,64.0,65.0,86.0,67.0,94.0,68.0,73.33
224,William Torres,male,True,35.0,87.0,91.0,98.0,94.0,100.0,87.0,89.0,88.33
225,Lisa Gardner,female,False,17.0,97.0,88.0,87.0,61.0,86.0,92.0,94.0,92.33
226,Catherine Owens,female,False,7.0,97.0,92.0,79.0,88.0,92.0,99.0,85.0,96.0
227,Keith Summers,male,False,16.0,98.0,88.0,92.0,84.0,90.0,90.0,71.0,92.0
228,Linda Adams,female,False,20.0,96.0,67.0,88.0,95.0,82.0,75.0,84.0,79.33
229,Michael Wright,male,True,0.0,98.0,89.0,81.0,56.0,72.0,74.0,94.0,87.0
230,Kyle James,male,False,27.0,87.0,82.0,95.0,81.0,85.0,84.0,73.0,84.33
231,Christopher Cook,male,False,24.0,96.0,80.0,86.0,94.0,63.0,72.0,75.0,82.67
232,John Conley,male,False,30.0,82.0,74.0,77.0,95.0,81.0,76.0,91.0,77.33
233,David Barnett,male,False,20.0,100.0,72.0,99.0,64.0,70.0,93.0,67.0,88.33
234,Peter Garner,male,False,27.0,91.0,81.0,91.0,76.0,100.0,92.0,87.0,88.0
235,Douglas Stewart,male,False,2.0,87.0,62.0,85.0,64.0,63.0,61.0,85.0,70.0
236,Heidi Jones,female,False,16.0,75.0,95.0,84.0,87.0,78.0,82.0,86.0,84.0
237,Jeremy Daniels,male,True,27.0,86.0,78.0,61.0,71.0,94.0,92.0,65.0,85.33
238,Dustin Dodson,male,False,24.0,94.0,62.0,97.0,96.0,74.0,68.0,69.0,74.67
239,Christopher Cohen,male,False,23.0,99.0,64.0,92.0,78.0,30.0,78.0,88.0,80.33
240,Willie Ellis,male,False,15.0,84.0,91.0,94.0,66.0,78.0,71.0,93.0,82.0
241,Robert Hawkins,male,False,25.0,92.0,81.0,68.0,96.0,99.0,92.0,79.0,88.33
242,Stacy Jordan,female,False,32.0,95.0,84.0,95.0,72.0,62.0,80.0,83.0,86.33
243,Robert Swanson,male,False,35.0,90.0,88.0,94.0,99.0,92.0,87.0,97.0,88.33
244,Holly Henderson,female,False,3.0,93.0,100.0,87.0,66.0,85.0,96.0,87.0,96.33
245,Debra Valdez,female,False,28.0,69.0,63.0,88.0,73.0,83.0,74.0,94.0,68.67
246,Vincent Robertson,male,False,3.0,97.0,80.0,80.0,65.0,91.0,67.0,84.0,81.33
247,Karen Spencer,female,False,21.0,76.0,72.0,80.0,92.0,41.0,90.0,78.0,79.33
248,Nathan Riley,male,False,35.0,85.0,85.0,92.0,86.0,99.0,86.0,93.0,85.33
249,Andrea Sutton,female,False,35.0,91.0,87.0,89.0,97.0,93.0,87.0,100.0,88.33
250,Tracey Turner,female,False,14.0,82.0,95.0,92.0,62.0,73.0,75.0,93.0,84.0
251,Tammy Olsen,female,True,1.0,59.0,56.0,87.0,97.0,62.0,74.0,61.0,63.0
252,Sheila Wilkinson,female,False,0.0,78.0,71.0,73.0,51.0,80.0,84.0,65.0,77.67
253,Nathan Padilla,male,False,12.0,89.0,65.0,82.0,65.0,76.0,95.0,62.0,83.0
254,Sarah Santiago,female,False,35.0,86.0,91.0,92.0,96.0,90.0,96.0,90.0,91.0
255,Christopher Cruz,male,False,2.0,76.0,93.0,65.0,95.0,76.0,88.0,88.0,85.67
256,Nicholas Sanders,male,True,16.0,79.0,68.0,63.0,72.0,81.0,67.0,67.0,71.33
257,Jessica Waters,female,False,31.0,91.0,96.0,77.0,76.0,80.0,97.0,80.0,94.67
258,James Miller,male,False,4.0,89.0,66.0,80.0,77.0,60.0,88.0,74.0,81.0
259,Adam Kane,male,False,19.0,97.0,94.0,81.0,97.0,79.0,86.0,63.0,92.33
260,Patricia Gonzalez,female,False,15.0,100.0,86.0,74.0,96.0,80.0,99.0,76.0,95.0
261,Whitney Holmes,female,False,30.0,96.0,68.0,87.0,96.0,91.0,68.0,65.0,77.33
262,Rachel Hamilton,female,False,17.0,94.0,64.0,100.0,71.0,84.0,92.0,99.0,83.33
263,Melissa Marshall,female,False,23.0,98.0,68.0,80.0,75.0,80.0,81.0,60.0,82.33
264,Jacob Henderson,male,False,3.0,53.0,71.0,98.0,95.0,94.0,71.0,77.0,65.0
265,Melissa Huerta,female,False,4.0,44.0,64.0,58.0,66.0,87.0,62.0,68.0,56.67
266,Kevin Camacho,male,False,25.0,85.0,70.0,73.0,95.0,100.0,70.0,94.0,75.0
267,Anthony Martinez,male,True,1.0,51.0,91.0,67.0,79.0,58.0,52.0,75.0,64.67
268,Randy Rodriguez,male,False,24.0,90.0,89.0,82.0,74.0,67.0,92.0,82.0,90.33
269,Patrick Vazquez,male,False,15.0,100.0,92.0,90.0,66.0,73.0,68.0,70.0,86.67
270,Kim Flores,female,True,1.0,95.0,73.0,61.0,91.0,84.0,92.0,94.0,86.67
271,Robert Salazar,male,False,33.0,76.0,81.0,96.0,74.0,75.0,80.0,98.0,79.0
272,Victoria Vasquez,female,False,11.0,71.0,98.0,96.0,60.0,90.0,79.0,72.0,82.67
273,Ricardo Macias,male,False,10.0,95.0,60.0,87.0,71.0,91.0,84.0,98.0,79.67
274,Brandi Bauer,female,False,15.0,92.0,88.0,76.0,93.0,69.0,75.0,97.0,85.0
275,Jorge Roth,male,False,34.0,82.0,95.0,96.0,100.0,89.0,64.0,91.0,80.33
